	0	1
120	投稿被拒再投,求助	之前投appliedenergy的稿件被拒,编辑回复“Pleasenotethatwedoallowauthorstoresubmitarevisionofapreviouslyrejectedpaper.Providedasignificantrevisionhasbeenmadewithallresponsesintheformatofpointtopointincludedinthecoverletter,wemightorganizeanewreviewofthepaperasa&quot;new&quot;paper.”请问是可以修改完再投吗?如果再投的话,是按一篇新的文章投稿,...
121	求助,审稿人提的问题看不懂,	TheIUPACdefinitionforalimitofdetection(3.29sB/k)shouldbeusedtakingaccounttherecommendationsfromtheOrangeBookinTheAnalyticalDivision(webpage).
122	industrial crops and products 投稿witheditor多久进入审稿哈	有没有近期投稿或者近期中的小伙伴分享一下经验哈,我是7.12号submittedtothejournal,13号witheditor至今。邮件有收到一个编辑处理,然后又转分给另外一个编辑处理。谢谢大家
123	文章大修	求助各位,两个审稿人,一个建议拒绝,一个建议修改,编辑建议大修,给了大约50天的修稿时间。建议修改的意见已认真回复,但是建议拒绝的意见目前很难做出那么多实验数据,求助各位这种情况怎么操作才有自救的机会呢?谢谢大家!
124	有人投过真空科学与技术学报吗	专家审核40天了,一点消息都没有,你们遇到过这样的情况吗
125	药剂菜鸡的第一次药学杂志投稿	请问有人投过currentdrugdelivery这个期刊吗,我第一次投稿怎么也登录不进投稿网址,显示signinrestricted,有人知道怎么回事吗,非常感谢
126	最近有投稿automatica的么	我投稿到SubmitaNewPaper●Previouslypresented●Previouslysubmitted这一步,就进行不下去了,点击next没有反应。请问这是怎么回事。最近两天有投这个系统的么,你们出现这种情况么。是我网的原因么还是咋回事埃求助
127	RSC的期刊一般速度是怎样的?	3.13Submit3.14initialassessment3.19上午witheditor3.19下午inpeerreview感觉太快了,是不是要拒稿了
128	电力系统保护与控制投稿	12月30号投稿,1月19号退修通知下来,状态显示修改后再审,我这种情况是经过外审专家吗,怎么那么快,一个月都不到,这个期刊稿件要经过几个审稿专家?有没有知道的朋友解答一下
129	mdpi旗下的sustainability审稿意见回来了,大修,10天	学术编辑提了一个比较外行的小问题+引言补充。审稿人1:must3个审稿人2:must1,can1.审稿人3:must1,can1.请问录用概率大吗?18/92019submit12/112019major19/112019resubmit祝我好运吧!
130	TAG手稿格式要求	TAG手稿格式要求
131	(热加工工艺)投稿	有没有人知道热加工工艺这个期刊,工学类的文章字数要求和查重率是多少呀
132	prb三审状态求助	prb三审意见在编辑那边三天了,之前一审二审当天送给审稿人,想问一下编辑是打算自己决定嘛
133	biotechnology letters 的手稿格式	请问哪位大佬投过biotechnologyletters期刊啊,这个期刊的word手稿格式到底是什么样的啊啊啊,一直没搞明白!!!还有投稿需要的author\'sQuistchecklist的格式是什么样的!!!有没有大佬指点迷津!!!
134	science of the total environment投稿求助	图表总数>8个怎么办啊,不好删,第一次投求大佬回复。。。
135	520散千金只为你	APEN已经修改两次了,投稿后发现公式编号没更新。哎,太粗心了。。。ECM虽是小修,常规15天就会知道结果,但到今天已经20天了,还在underreview,中间日期变了一次。感觉不淡定了,散千金攒人品!!!
136	China communications投稿求助	各位虫王,投稿Chinacommunications最后的biography怎么排版啊,发现超过5位作者,后面的就飘了,如图所示,求助bio.png
137	大修后提交	一区top期刊,两个审稿人评价都不错,编辑给了大修,刚提交,希望可以尽快接收
138	谁了解Geocao International期刊?	谁了解Geocao International期刊?
139	SCIENTOMETRICS投稿交流	有大佬投过SCIENTOMETRICS这个期刊吗?
140	请问代谢组数据上传到MetaboLights网站审核时间大概是多久?	投稿的一篇文章代谢组数据上传到MetaboLights这个网站,我们第一次上传validation那显示有个文件错误,需要删除,我们删除了以后,界面现在不出现validation选项了,只有StatusSubmitted,ReleaseDate20220217现在不太清楚数据是在审核还是需要我们后续需要哪些操作,所以请教一下大家,非常感谢!
141	求助Journal of Fungi的最新2021年中科院分区	求JournalofFungi的最新2021年中科院分区,基础班和升级版。。谢谢
142	惊掉下巴,一男子持续22天遭受折磨.	投稿wily旗下的indoorair期刊,投稿第二天就underreview,现在underreview了22天了,这状态真奇怪,有没有遇到过的虫友?
143	投文章	大家知道中职类教学实践的小论文可以投哪些期刊嘛?
144	今年出的新期刊The Innovation什么定位呢?相当于现在的哪个期刊,有没有人了解。	这个期刊是panershipwithcellpress。什么定位呢?相当于现在的哪个期刊,谢谢大家!
145	投合金化合物给了修,需要提交一份.csv文件,有人整过嘛?怎么整呀?	合金与化合物杂志采用交互式绘图查看器,请参见:''。交互式绘图可以方便地访问绘图背后的数据。要在文章中包含一个,请准备一个包含绘图数据的.csv文件,并在''在作为补充材料提交之前。
146	湖南大学学报和浙江大学学报	有人投过湖南大学学报(自然科学版)和浙江大学学报(工学版)吗?计算机目标检测方向的中文论文,请问这两个期刊哪个容易一些呢?有人投过吗
147	有投过SCI期刊MECHANICAL SYSTEMS AND SIGNAL PROCESSING的吗?求指导	MSSP投稿求助
148	求推荐:环境领域的EI期刊有哪些?	求推荐:环境领域的EI期刊有哪些?
149	求助	论文被拒到怀疑人生,需要出版面费的外刊推荐,救救孩子
150	代谢组论文材料问题	投了一篇关于代谢组的论文(找迈维做的),林业科学期刊,然后外审完毕后给的意见只有关于材料的问题,有一条是说代谢组只有三个重复过少,该怎么回答,因为平时看的文献都是三个生物学重复。不知道该怎么回答。迈维的工作人员说提供迈维的参考文献,都是三个生物学重复。
151	请问有投过光谱学与光谱分析的师兄师姐吗?	小论文写完投稿需要注意格式什么的嘛?
152	综述文章权限求助!	求助~请问我撰写一篇小综述,其中引用Doov杂志社一篇文章插图,我在申请的时候不知道哪里出了问题,还是事实如此。编辑给我回信需要收费才能引用。请大佬给个主意,我要如何免费获得权限,如果不行,我现在文章大修,需要怎么做?附件是编辑给我的邮件信息!InternationalJournalofNanoMedicine2021DescriptionTotalpriceermissionToRePublishFigure1$95.00TheabovepriceisinUSDollars.TheFiguremustbefullycitedasfollows:‘InternationalJournalof...
153	Sensors and Actuators A	求大佬们告知SensorsandActuatorsA的投稿模板在哪下载以及投稿要求。
154	求助,required reviews completed已经12天了	是不是不太妙啊,投的还是stoten,这个期刊不是一向很快吗
155	Journal of Biomedical Science	Journal
156	审稿意见 加入量化性能评价相关内容	审核意见:根据期刊要求修改。专家1:本文简要综述.论文结构合理,图表清晰,但也存在几个问题,如参考文献没有按顺序引用、撰写偏口语化、行文需规范精炼等(Tab.Table)。本文可改进之处:1、引言部分,本文将智能算法划分为自然优化、进化、仿植物生长、群智能优化算法等4类,而本文主要围绕群体智能优化算法展开综述,前后内在逻辑关系需要进一步理顺和阐述,解释其原因。2、本文将鲸鱼优化算法、樽海鞘群体算法和哈里斯鹰优化算法归入其他群智能优化算法,组织框架与蝙蝠算法和果蝇优化算法不同,需要解释原因。3、虽然针对不同类型算法对比了所属不同改进策略的思路、优缺点、应用领域,但是感觉停留在表层,具体性能对...
157	AM投出去好几天了,一直显示submitted,没有变成under consideration	AM返修投出去好几天了,一直显示submitted,没有变成underconsideration,是编辑还没看到吗?如果超级休假了是不是会一直看不到
158	有人有polymer这个杂志的写作模板吗?	在官网没有找到polymer这个杂志的模板,要求写的也不是很清楚,希望有的人可以否发一个下载的模板,
159	大家伙帮忙瞅瞅?	大家看看是不是凉了?
160	jmca in peer review 后变成了with editor这种情况被拒机率高吗	4.27上传5.2witheditor5.3inpeerreview5.7witheditor这种情况一般被拒的概率有多少电化学方面,周期一般多久呢?
161	《包装工程》审稿也太慢了吧	《包装工程》的审稿人也太能拖时间了.
162	请教交叉引用的问题	word 交叉引用
163	投稿求助	求助各位大佬,求助从投稿到接收或者见刊周期比较短的材料类的sci期刊推荐
164	analysis result部分放在哪里呢?关于水质演化的	各位投稿的虫友,请帮忙给些建议吧,SCI论文投稿返回让大修,其中一位审稿人提到让加入analysisresult部分,原文如下:“Addingthesectionofanalysisresultisbetter,becausemostoftheanalysisresultsareputintothediscussionandconclusion.”我写的是水质化学成分分析的文章,所以在前面在Introduction之后,写的Resultsanddusscussions部分,用一些统计方法和传统经验方法来逐步分析水质演化的成因,没有将results单独拿出来写,我看不少论文也是这样的,最后是co...
165	投稿	岩石力学与工程学报增刊有用吗?学校毕业不认增刊,用来申博的话,别人认可吗
166	求助:文章投了快一个月,该期刊推荐了转投其他杂志,请问接收转投是否需要再次修改?	文章投了快一个月,结果被拒,并且给了审稿意见,但是该期刊推荐了转投其他杂志,请问接收转投是否需要再次修改?还是直接点击链接就可以?具体邮件如下:Dearxxx,&#8239;&#8239;&#8239;&#8239;Thereviewofyourmanuscriptsubmittedtoxxxhasbeencompleted.Thereviewersindicatethatthemanuscriptisnotsuitableforpublicationintermsofpresentation,content,anddescription.Asaresult,Iregrettoinformyo...
167	确定合适期刊	有哪些软件或者网站可以帮助查找合适的投稿期刊呢?
168	小修后decision in process	文章小修后witheditor一周,今天状态变为decisioninprocess了,是不是要做决断了,祈祷啊啊啊
169	elsevier返回的审稿意见缺失怎么办	投稿了一篇论文到爱思唯尔的期刊第一次回来的审稿意见第二审稿人意见只有前面几个单词然后后面的内容完全缺失看不到审稿意见给编辑发邮件也没有回复我们修回的时候跟第二审稿人说明了看不到审稿意见的情况第二次回来的审稿意见第二审稿人说可能是编辑的失误导致我们看不到审稿意见但是也没有附上第一次缺失的审稿意见但是我们在第一次审稿意见回来的时候已经给编辑发了邮件一直也没有收到回信这该怎么办救救孩子吧很着急
170	Fuel	有前辈投过fuel期刊妈?二审大概需要多久时间能有结果,快一个月了还没出结果,意大利编辑。现在这个期刊是一区还是二区呢?
171	投稿一天编辑直接给大修是什么意思?	很奇怪,我投稿一天编辑就给了大修,是不是没戏了。请问各位大佬这是咋回事,我还有希望吗,比较着急用论文申博!以下是审稿内容Ihavecompletedmyevaluationofyourmanuscript.Thereviewersrecommendreconsiderationofyourmanuscriptfollowingmajorrevision.Iinviteyoutoresubmityourmanuscriptafteraddressingthecommentsbelow.PleaseresubmityourrevisedmanuscriptbyAug07,2021.Editoran...
172	Creative Commons CCBY licence	准备投稿frontierinchemistry投稿须知有这么一句:Figures,tables,andimageswillbepublishedunderaCreativeCommonsCCBYlicenceandpermissionmustbeobtainedforuseofcopyrightedmaterialfromothersources(includingrepublished/adapted/modified/paialfiguresandimagesfromtheinternet).Itistheresponsibilityoftheauthorstoacquirethe...
173	MDPI期刊minor revision后提交,状态变为Resubmitted	小弟第一次投,想问下这个状态这是什么意思?另外想问下小修后中的概率大嘛,3个审稿人,第一个全给了Yes,第二个和第三个给了1个Canbeimproved,其它也是Yes。祈祷能中。
174	发sci数据问题,急了!!	各位老师师兄师姐,本人现在刚研一,现在是要用师兄大论文数据写一篇英文,但是师兄有一个xrd的原始数据给弄丢了,只有图片,最主要是没有样可以补了。我在淘宝上找了一个商家可以从图片提取数据,再画图是完全一样的,我想请问这样可以吗,还没告诉老板,老板脾气不好,谢谢了!
175	OPTICAL MATERIALS投稿求助	OPTICALMATERIALS期刊的投递状态一做可以自己查询嘛?为啥子我的查不出来呢(本人一作,但不是我投递的),还是这个期刊只能通讯查呢?有没有知道的大佬呢,
176	请教 大侠, 这个审稿意见是什么意思?该如何回复呢?	CaptionofFig.5isnotstandalone.Whatdoesthemeanof1.5to+1.5intheheatmap?Whydoyouusednegativevaluefohefrequencyofbacteria?这条意见是针对所做的微生物种类热图的意见。采用高通量测序鉴定了样品中的微生物多样性,在文章中提供了一张种类热图,一个门水平分布图,一个属水平种类分布图。针对3张图,分别给出了上面和下面两个意见。请大家指点该如何回复?ThecaptionsofFig.3andFig.4shouldbestandalone.
177	高分子橡胶方面的文章往哪里投,好中啊	高分子橡胶方面的文章往哪里投,好中啊
178	求助International Journal of Energy Research的endnote的参考文献格式	在endnote中没有找到该杂志的格式,可返修时间马上到了,恳求谁有帮忙给分享下,再次感谢
179	Science advance 投稿咨询:to review后多久收到审稿意见,可以看到编辑是哪一个吗	Scienceadvance投稿状态咨询:toreview后多久收到审稿意见,可以看到编辑是哪一个吗,现在toreview之后,日期天天在改变
180	没有理论支撑能发sci吗	对新材料做了实验,得到了预期的结果。但对这种现象的机理解释不清楚,能发sci吗?
181	《科学技术与工程》稿件状态显示复审已审回是什么意思?	复审已审回之后录用的几率大吗?这个期刊审稿流程是啥,也没个流程图.
182	Angew二审一般给审稿人多长时间啊?	一审两周多,三个审稿人,一个给了veryimpoant前5%,第二个无厘头拒稿,第三个highlyimpoant前20%小修。按照审稿人的意见补了一个小实验,改了三个用词,四天后提交。就这么小的一个小修,二审已经14天了一直没消息。焦急ing,请问一般二审给审稿人多长时间
183	申请ACS版权问题	在论文投稿时遇到要版权的问题,请各位给与帮助,像RSC等期刊在申请rightpermission的时候,按照要求一步步填写,我们会收到一封来自CopyrightClearanceCenter的肯定回信,但是ACS的并没有这样的邮件回复,我在申请时看到这样的页面:PERMISSION/LICENSEISGRANTEDFORYOURORDERATNOCHARGEThistypeofpermission/license,insteadofthestandardTermsConditions,issenttoyoubecausenofeeisbeingchargedforyouro...
184	本人sci写作小白  sci投稿求助	本人做酸性气体吸附方向研究内容比较老旧老板专做横项只想搞钱的老板学术上完全提供不了任何帮助目前两篇英文在投一篇二区一篇四区二区已经被拒三次两次编辑直接拒绝一次送外审拒绝然后建议转投另一个期刊由于是第一次写英文并且课题组完全没有sci投稿经验(老板上一次发英文还是十年前博士毕业)由于本人想读博因此着急出成果请问投稿时会被编辑直接拒绝可能是什么原因导致的?这种情况是否有必要直接转投三区或者四区?请各位前辈分享经验!如果到今年暑假联系导师时只有两篇英文在投的,申请普通双一流学校的博士是否有竞争力?感谢各位!
185	求推荐电化学或材料领域接受快容易中的三区期刊!	论文是关于电催化剂材料,希望审稿快早点接收。要求三区非开源,求朋友们推荐!
186	投MDPI期刊被编辑拒掉,是不是意味着文章太次了	是不是只能选择分更低,区更低的期刊
187	Frontiers系统里到了Interactive Review阶段求助	求助各位大佬!一共3个审稿人在昨天我看还是一个endorsed一个active一个rejected但今天就变成两个rejected了只因为我没有及时回复他的问题么还有我没有找到怎么回复两个拒搞的审稿人的意见是要在editor那一并回复么是回复完之后才可以提交修改过的手稿么大改只有14天合理么救救孩子吧谢谢各位!
188	选择publishing options一直出现未授权是怎么回事?	选择publishingoptions,出现Anerrorhasoccurred.Youmayeditthesubmissiontocorrectinvalidinformationorcontacttheeditorialofficeforassistance.Theerroris:TokenExpired:ReceivedStatusCode==Unathorized请问这是怎么回事?
189	精细化工	终审结束,编辑说语言不够精炼,让好好修改。第一次投稿不太懂,这样怎么改,总不能重新写论文吧。
190	岩石力学方向投稿	有没有推荐的适合岩石力学方向的英文期刊?最好是特刊吧,着急毕业。谢谢虫友们。
191	物理学报专家外审有一个专家三天就完成了是不是被拒了	物理学报专家外审有一个专家三天就完成了是不是被拒了
192	o	投稿已经一周了,但是投稿系统还显示这个状态,是送审了吗?还是咋么了?这个是journalofelectrochemicalsociety期刊。
193	论文被拒可带稿号重投,重新上传到系统后是另外找审稿人么	论文被拒,编剧说可带稿号重投,重新上传到系统后是另外找审稿人,还是依旧送至之前的审稿人呢?再次求助各位大佬,打扰了
194	二次投稿求助	前几年的一篇英文文章,投过一次,编辑给了大修后重新投稿,由于种种原因,没有再投。现在想把文章重新投稿,这种情况如果再投的话,算一稿多投吗?原来的杂志需要给编辑写邮件说明一下吗?
195	文章被transfer pending后要怎样才可以改投	文章被编辑要求转投到其他杂志,但是不想转投,想直接投其他杂志,编辑给了一个同意改投的链接和拒绝改投的链接,说是有一个月的期限,但是都没法打开,请问要给编辑写信得到准许后才可以重新投其他杂志吗?如果不管直接重新投其他杂志,这个链接到时候不点会不会自动失效呢?
196	审稿意见回复求助	审稿意见有一条是,pleaseinseCODbalancefoheprocess?应该怎么修改,什么是cod平衡?
197	Chaos期刊 版权协议问题	目前论文处于inproduction阶段,请问是否还需要提交版权协议声明。
198	awaiting EIC decision第7天焦虑	已经等了七天了,焦虑.
199	Joule期刊定位	就目前来看,Joule与AdvancedMaterials和EES期刊哪个更值得投?
200	投稿电网技术什么情况下会被转增刊发表?	本人投稿了一篇电网技术,期间认真按照专家意见修改过一次,之后专家回复说已经很好的回答了初审阶段的问题,没有其他问题再问了。在这之后又根据编辑要求进行了部分文章格式的调整,目前进入编辑加工阶段。但是我发现编辑加工后有可能进入作者修改、转增刊发表以及定稿三个阶段,请问什么情况下会被转增刊发表呢?另外电网技术投稿一般在什么阶段可以向编辑索要录用通知呢?
201	请问 共因失效  主题的论文投哪个期刊	本人专业:交通信息工程及控制,写了一篇论文,和“共因失效”有关(但不针对具体的行业,可以是铁路、民航、工业过程等等),主题是“采用证据理论对共因失效因子进行估算”,有数学方法,有算例。想翻译为英文投个sci,但找了很久,发现可靠性安全性领域的期刊大多是一区、二区的,写的没那么好投不了。我找到的有:1、ProceedingsoftheInstitutionofMechanicalEngineersPaOJournalofRiskandReliability1748006X四区2、QUALITYANDRELIABILITYENGINEERINGINTERNATIONAL07488017四...
202	毕业后做的东西要不要加原来老板的名字?	我博士课题有个idea一直没做,老板知道我有没做的idea,但是具体是什么他不知道,六月份就要离校了,我去新单位后做出来,文章还要不要加原来老板通讯?
203	审稿意见不明白,求助大家!!!以下几点意见	审稿意见不明白,求助大家!!!以下几条1、切忌出现利用现有数据和现有方法得出一些结果,这样的论文没有什么价值2、逻辑不清晰,需要按照规范经济学论文重新组织本文。还有一条,就是说“没有真正置于XXXXX背景中”,这个背景是我的标题里的。“XXXXX背景下XXXXX的研究”非常努力地想改好,希望大家给点意见,越多越好,
204	实验技术与管理终审	9月18日投稿实验技术与管理!11月1日进入终审,不知道实验技术与管理的终审通过率高吗?审稿流程历史阶段处理人开始时间计划完成时间实际完成时间处理结果历史明细初审*2018/9/182018/11/1终审详细当前阶段处理人开始时间计划完成时间实际完成时间处理状态操作终审*2018/11/1*
205	期刊求助	环境类二区审稿快接受多的期刊,求推荐
206	有人投国际能源与环境工程(IJEEE)吗,为什么关闭投稿了	InternationalJournalofEnergyandEnvironmentalEngineering,Springer旗下EI,提交返修不久后发现投稿网站首页说暂时关闭投稿,登录上去没有投稿页面了,稿件进度也看不到,不知道什么原因,现在要怎么办?
207	校稿求助	Youraicleisbeingprocessedasaregularitemtobeincludedinaregularissue.Pleaseconfirmifthisiscorrectorifyouraicleshouldbepublishedinaspecialissueusingtheresponsesbelow.文章要校稿,有没有知道,这个是啥意思?爱唯思旗下期刊
208	文章接收后,怎么上传cover image?	爱思唯尔旗下期刊,已接收,现在上传coverimage,怎么上传?第一次中刊,请大佬指教。捕获1.GIF
209	投的一篇IEEE Trans TVT论文(Correspondence短文)	有虫友知道这个期刊的withassociateeditor状态多久出结果?两周了...这个状态是审稿人的意见全部回到ae那了吗?还是ae又找了个审稿人,在仲裁?
210	求最新的corrosion science 参考文献模板,ENDNOTE,	求最新的corrosionscience参考文献模板,用的endnote,
211	submitted to journal后一直没有变化	早先往AnalyticaChimicaActa投的一篇文章被拒后应编辑要求可以改后重投,改好后4月26日重新投稿,到现在一直处在submittedtojournal状态,也没有文章号,记得以前Elsevier的杂志投稿后都是很快分配文章号,现在怎么这么慢了,这是正常现象吗?要不要给编辑发个邮件问下呢?
212	SCI期刊要求写Dete in Brief 和method aicel,应该应该怎么写?	SCL期刊要求提供DateinBrief,想请教一下学术大佬们,是要放上原始数据吗,使用Excel吗,还要求提供一份methodaicel,这个内容应该写什么,是写投稿的全部实验方法吗,还是写投稿文章中创新一点的方法比较好,肯请学术大佬们帮忙解答一下,非常感谢
213	EURASIP Journal on Wireless Communications and Networking投稿	请问有没有投稿EURASIPJournalonWirelessCommunicationsandNetworking的,进度如何?
214	高分子通报	投稿高分子通报,我近四个月没消息了。从官网上这两年收录的文章页脚看到的,从收稿日期到改回日期,这之间的时间差距几乎都是七八月以上,有的甚至是一年。请问哪位朋友投稿过的此期刊的,真是如此之慢吗?
215	国内的中文核心期刊会有支付稿酬?	请教各位虫友,国内的中文核心期刊会有支付稿酬嘛?
216	请问nature旗下新刊物communications physics如何?影响因子何时可出?	有一篇论文投过去了,要求修改,现在修改上交了。这个刊物是5月份投naturecommunications没通过建议转投的,为了怕麻烦想先投试试,结果审稿意见还不错。现在已经改完再投了,但又觉得这个刊物影响因子还没出。想了解按照新期刊开始到影响因子出来大概要多久啊?这个刊物如何呢,是否能定位1区呢?职称评定什么的很急哎~,请大神们给一点建议,
217	第一次投文章,录用为增刊,想撤稿,请教虫友们怎样给编辑部写信比较好	第一次投文章,录用为增刊,想撤稿,请教虫友们怎样给编辑部写信比较好
218	一审结束,编辑在信里只给了一个审稿人的意见,另一个说是见附件,但是找不到任何附件	一审结束,编辑在信里只给了一个审稿人的意见,另一个说是见附件,但是找不到任何附件
219	中国酿造投稿求助	中国酿造投稿求助
220	低共熔溶剂	有没有做低共熔溶剂的朋友,这个溶剂太粘稠了,想请教一下各位,该怎么准确量取低共熔溶剂体积啊
221	状态显示Status: Not Yet Acknowledged	大家知道这个状态是什么意思吗?submitted后,显示状态显示Status:NotYetAcknowledged。然后我发现竟然还能修改。这到底是投成功了还是没有?是aps的投稿系统,pdf都还没生成呢。小白第一次投这个系统的期刊,真诚求助!有人知道吗?
222	transfer到Energy  Environmental Materials的都显示invited manuscript么?	楼主上个月投的AFM外审一个月后被拒稿,编辑提供转投选项可以投EnergyEnvironmentalMaterials。然后我们这边同意了,文章转过去以后进AuthorDashboard看到在invitedmanuscript栏下。。这是什么意思呀,转投这个期刊的文章都会变成invitedmanuscript么?
223	环境化学期刊综述好中吗?文章一共7000字,关于水处理方面的	审稿速度怎么样?容易拒稿么?求好心人解惑!
224	审稿人提出数据统一使用三个有效数字是什么意思?	投的是质谱分析类文章,第一次修改时,审稿人提出的建议是:Reponumbersin3significantdigits,e.g.,9.95,99.5,995.我的理解是文章中的数据都使用三个有效数字,可能是我看过的文献数量太少了,但是在我的认知里,没有看到过分析文章中数据以有效数字统一的,大部分是统一保留小数点位数,类似于2.33,33.33,0.22这样。我也以这个理由回复了审稿人。第二次修改时,审稿人重新提出了这个问题:Theauthorsmustreponumbersforinstanceconcentrationwith3relevantdigits.所以审稿人的意思是文章中数...
225	求各位大佬帮忙看一下大修意见	第一次投稿,希望大家可以帮忙看一下编辑与审稿人的要求,因为审稿人要求比对的算法与我所做的其实并不是太相关。编辑意见:Ihavereceivedthereviewer\'scommentsonyourpapehatareappendedbelow.Thereviewerhasadvisedthatyourmanuscriptrequiresarevisionbeforeitcanbereconsideredforpublication.Agreeingtoreviewer’scomments,Ialsobelieveitiscrucialtoreferencetheexistingworks...
226	关于自组装抗肿瘤药物纳米粒文章投哪里	各位大大好,本人小菜一枚,课题做了一个脂溶性抗肿瘤天然产物修饰后自组装成纳米颗粒,粒径140nm,对多株细胞体外抗肿瘤活性提高,体内动物实验还没做,请问这种内容投哪些期刊比较合适啊?最好补充一点什么内容好呢?求各位大大指点,万分感谢!
227	新手第一次投SCI记录贴	楼主第一次投SCI,投了一个4区OA期刊,基本靠自己,感觉走到送审都难,在网上扒了一遍网友们的投稿经历,想记录一下自己的投稿过程。每天看3遍邮箱和系统状态,焦虑死了,就是个小硕士煎熬毕业..怎么感觉也那么难,而且打听到的今年6月份毕业的情况,虽然学校一般,但是周围一打听就能说出有知道的人不能拿双证(感觉更加害怕了).22年4月20日提交(submitted)22年4月24日AE返回小修(minorrevision)22年5月8日提交小修(revisionsubmitted)22年5月12日系统显示pendingdecision(网上扒了一圈,发现要是送审的话会直接显示und...
228	Canadian Journal of Chemistry	CanadianJournalofChemistry的投稿网址打不开,有人知道它的投稿网址吗,万分感谢
229	计算机仿真	5.16投稿,11.24录用,呜呜呜,太难了
230	机床与液压投稿	投稿这个期刊一个多月了,去查询状态复审已审回,意见是空白,结果是采用,还要等多久才能知道结果呢,录用的概率大吗?
231	中央引导地方科技发展资金项目英文名称	请问各位虫友,谁的英文论文挂过中央引导地方科技发展资金项目?请问一下这个项目的官方英文名称是什么?
232	Editor Assignment Pending快一个月,求助各位!	首次投稿Springer下的Flexibleservicesandmanufacturingjournal3.12号Submitted3.14号EditorAssignmentPending然后保持这个状态至今快一个月,想问下这情况正常吗,需要催一下吗还是继续等待?
233	投稿格式咨询	想试一下农业机械学报,但是没找到它要求的文字大小,间距等这些格式要求?请问有没有了解的呢?
